level_0,index,city,year,latitude,longitude,log_pop,num_people,diversity,capital,university,commune,bishop,fup,notability_index,city_id,year_id
1322,2263,Newcastle-upon-Tine,1500,54.974,-1.602,1.6094379124341003,5,2.19722457733622,0,0,1,0,3.9964,127.712837,407,3
1323,2264,Newcastle-upon-Tine,1600,54.974,-1.602,2.302585092994046,13,3.1354942159291497,0,0,1,0,6.3798,265.107902,407,4
1324,2265,Newcastle-upon-Tine,1700,54.974,-1.602,2.6390573296152584,55,4.360219664274415,0,0,1,0,8.7155,1182.41947,407,5
1325,2266,Newcastle-upon-Tine,1800,54.974,-1.602,3.4965075614664802,191,5.469180272576066,0,0,1,0,20.787,3761.913426,407,6
1326,2270,Newry,1800,54.18,-6.33,2.70805020110221,98,4.78222402823282,0,0,0,0,16.357,1846.013343,408,6
1327,2272,Nice,1300,43.7,7.25,2.302585092994046,1,-0.0,0,0,1,1,7.2653,22.424412,409,1
1328,2273,Nice,1400,43.7,7.25,1.9459101490553132,3,2.163955656882057,0,0,1,1,5.7288,69.583815,409,2
1329,2275,Nice,1600,43.7,7.25,2.772588722239781,15,3.044522437723422,0,0,1,1,10.959,316.861032,409,4
1330,2276,Nice,1700,43.7,7.25,2.70805020110221,81,4.558586963188746,0,0,1,1,12.993,1564.185934,409,5
1331,2277,Nice,1800,43.7,7.25,3.1354942159291497,183,5.059614827530644,0,0,1,1,20.986,3375.907256,409,6
1332,2278,Nicosia,1500,37.75,14.4,2.772588722239781,2,0.6931471805599453,0,0,0,1,5.8383,38.146753,410,3
1333,2279,Nicosia,1600,37.75,14.4,2.70805020110221,2,0.6931471805599453,0,0,0,1,11.241,29.589494,410,4
1334,2280,Nicosia,1700,37.75,14.4,2.302585092994046,4,1.3862943611198906,0,0,0,1,11.46,79.357052,410,5
1335,2281,Nicosia,1800,37.75,14.4,2.4849066497880004,3,1.0986122886681096,0,0,0,1,21.648,50.382272,410,6
